id,name,description,default_hours,default_hourly_rate,color,is_active,created_by,created_at
08e1ffb6-00a7-4d5c-aba5-eb3927778b50,Исправление багов,Поиск и исправление ошибок,4.00,3500.00,#EF4444,true,8d97a5a2-98ea-4b4b-8f4a-0069d389e2ec,2025-09-21 22:55:06.713018+00
133b778b-c49c-4507-9b1c-f05f081d849b,Проверка MR,проверка mr сотрудника,0.50,3500.00,#14B8A6,true,46f9b199-11a1-460e-b285-f3ca3b11bd3e,2025-10-01 08:40:42.674387+00
2a236ca7-e71e-457d-96ef-a89ad69ee3e6,Отдых,Zzzzzz,8.00,0.00,#F97316,true,e67f47f1-1413-416f-b6fd-c640886ef4fe,2025-10-03 09:46:01.959377+00
5a564f07-4d3f-4164-8736-bc159bb014b8,Документирование,,0.50,3500.00,#06B6D4,true,8d97a5a2-98ea-4b4b-8f4a-0069d389e2ec,2025-10-03 08:26:30.61677+00
65715595-d5fd-40d4-89e1-5fcec4e87824,Код-ревью,Проверка и ревью кода коллег,4.00,3500.00,#8B5CF6,true,8d97a5a2-98ea-4b4b-8f4a-0069d389e2ec,2025-09-21 22:55:06.713018+00
749f3f15-1724-4f42-8e0d-5d7829adca20,Разработка API,Создание и разработка API endpoints,16.00,3500.00,#3B82F6,false,8d97a5a2-98ea-4b4b-8f4a-0069d389e2ec,2025-09-21 22:55:06.713018+00
82a53edf-35fa-45f2-9d88-6522151628af,Тестирование,Написание и выполнение тестов,8.00,3000.00,#10B981,true,8d97a5a2-98ea-4b4b-8f4a-0069d389e2ec,2025-09-21 22:55:06.713018+00
8f5889f2-68cc-47e2-9145-84a3c1444211,Документация,Написание технической документации,6.00,2500.00,#F59E0B,false,8d97a5a2-98ea-4b4b-8f4a-0069d389e2ec,2025-09-21 22:55:06.713018+00
d4cc125e-8a30-472e-82b6-e84600a4f775,Разработка,,8.00,3500.00,#A855F7,true,3fa63763-42e0-4ffa-8eb4-e25762df96db,2025-10-07 03:54:58.387991+00
