id,employee_id,type,start_date,end_date,days_count,reason,status,approved_by,approved_at,notes,created_at,updated_at,worked
666c0972-dd84-4077-8ef2-8d434f1d8528,46f9b199-11a1-460e-b285-f3ca3b11bd3e,vacation,2025-11-17,2025-11-27,11,Ухажу,pending,,,,2025-09-24 15:10:38.573299+00,2025-09-24 15:10:38.573299+00,
92148e07-9ede-4300-a131-e7bf46e23343,43d9b4e2-255d-41d3-8bce-4b59332ee697,compensatory_leave,2025-09-23,2025-09-23,1,Проведение плановой операции. Отработка отгула - 27.09.2025,approved,8d97a5a2-98ea-4b4b-8f4a-0069d389e2ec,2025-09-24 15:12:15.97+00,,2025-09-24 11:52:26.278306+00,2025-09-30 16:55:14.489165+00,true
ea26aa95-b5fb-403b-b218-e9f3deec9878,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,vacation,2025-10-27,2025-11-02,7,неделька ежегодного отпуска,approved,8d97a5a2-98ea-4b4b-8f4a-0069d389e2ec,2025-09-22 11:34:39.787+00,,2025-09-22 11:12:00.377428+00,2025-09-22 11:34:40.097555+00,
